smiles,finger_prints
CC(C)C1(O)CC(C)C1,[0 1 0 ... 0 0 0]
O=C1NCC1N1CCC1,[0 0 0 ... 0 0 0]
C1OC2C3OCCC1C23,[0 0 0 ... 0 0 0]
O=C1OC2COC=NC12,[0 0 0 ... 0 0 0]
OC12CC1CC(C=O)=C2,[0 0 0 ... 0 0 0]
c1c[nH]c(c(c1=O)N)N,[0 0 0 ... 0 0 0]
CC12COCC(=O)C1O2,[0 0 0 ... 0 0 0]
CC12CC3C1C1C2CN31,[0 0 0 ... 0 0 0]
O=C1C2COC1C1OC21,[0 0 0 ... 0 0 0]
CCCOCC1CC1,[0 0 0 ... 0 0 0]
N=C1OC2CC2NC=C1,[0 0 0 ... 0 0 0]
CC1=CC2OC2(C)C1=O,[0 0 0 ... 0 0 0]
CC1N(CC11CO1)C=O,[0 0 0 ... 0 0 0]
CC1(O)C2CC(=O)C12O,[0 0 0 ... 0 0 0]
CC1OC2CC2N2CC12,[0 0 0 ... 0 0 0]
c1cc(oc1)C2(CC2)O,[0 0 0 ... 0 0 0]
OC1C2CCOC1C2=O,[0 0 0 ... 0 0 0]
CC12OCC=C3CC1C23,[0 0 0 ... 0 0 0]
CC12CC3N1C2C3(C)C,[0 0 0 ... 0 0 0]
NC(=O)C1CC1C#N,[0 0 0 ... 0 0 0]
N#CC1(CN1)C1CCC1,[0 0 0 ... 0 0 0]
NC1=CNC(=O)C(=N)O1,[0 0 0 ... 0 0 0]
N=C1COC2CC3C2N13,[0 0 0 ... 0 0 0]
OC12CC3OC1C3C=C2,[0 0 0 ... 0 0 0]
CC1CC2OC3CCC123,[0 0 0 ... 0 0 0]
COc1cnon1,[0 0 0 ... 0 0 0]
OC1C2C3OC1(C=O)C23,[0 0 0 ... 0 0 0]
C#CC12OC1C1CC2C1,[0 0 0 ... 0 0 0]
C1CC12CCOC23CC3,[0 0 0 ... 0 0 0]
Cc1cocc1C=O,[0 0 0 ... 0 0 0]
COCc1nc[nH]n1,[0 0 0 ... 0 0 0]
CC12CC3CC1C2C3O,[0 0 0 ... 0 0 0]
N=C1OC2C(CC#N)C12,[0 0 0 ... 0 0 0]
NC1=NC2C3NC2C13O,[0 0 0 ... 0 0 0]
CC12C3C4C5C4C1C5C23,[0 0 0 ... 0 0 0]
CC(=O)C1CC(C)(C)O1,[0 0 0 ... 0 0 0]
CC(C)CC1(CO1)C#N,[0 1 0 ... 0 0 0]
CC(C)C(C)C(=O)C#N,[0 1 0 ... 0 0 0]
C1CC1C1OC2CCC12,[0 0 0 ... 0 0 0]
CN1C2CC(CC12)C=O,[0 1 0 ... 0 0 0]
CC1COCC(C)=C1,[0 0 0 ... 0 0 0]
Cc1c(oc(=NC)[nH]1)N,[0 0 0 ... 0 0 0]
CC(C)C1COC1C#C,[0 1 0 ... 0 0 0]
CC1(C=CC2CC12)C#C,[0 0 0 ... 0 0 0]
CC(CC1(C)CC1)C=O,[0 1 0 ... 0 0 0]
CC12C3CC1(OC23)C=O,[0 1 0 ... 0 0 0]
CC1(C)C2C=CC1C2O,[0 0 0 ... 0 0 0]
CC1CN2C3C2C2C3N12,[0 0 0 ... 0 0 0]
NC(C#N)C1=NCCO1,[0 1 0 ... 0 0 0]
C1C2C3N1C1C=C3CC21,[0 0 0 ... 0 0 0]
CC12C3C(C3C1=O)C2O,[0 0 0 ... 0 0 0]
CC1=CC2C3CC2(C1)O3,[0 0 0 ... 0 0 0]
CC(NCC#N)C1CO1,[0 1 0 ... 0 0 0]
CC12CCC3C(C=C1)C23,[0 0 0 ... 0 0 0]
Cc1ncc(o1)CC=O,[0 0 0 ... 0 0 0]
CC1C2OC2(C)C1(C)O,[0 0 0 ... 0 0 0]
C1CC1C12CC3OC1C23,[0 0 0 ... 0 0 0]
N#CCC1CCCCO1,[0 0 0 ... 0 0 0]
O=C1CC2(NC12)C1CC1,[0 0 0 ... 0 0 0]
OC12CC(C1)C(C2)C=O,[0 0 0 ... 0 0 0]
OC1C(O)C11CC(O)C1,[0 0 0 ... 0 0 0]
C#CC#CC1(CCC1)O,[0 0 0 ... 0 0 0]
c1c[nH]cc1C(=O)N,[0 0 0 ... 0 0 0]
NC12CC1(CC2O)C#N,[0 0 0 ... 0 0 0]
CC12OCC(CC=C1)O2,[0 0 0 ... 0 0 0]
OC1C2C1C1(O)CC2C1,[0 0 0 ... 0 0 0]
CC1C2CC(C2O)C1O,[0 0 0 ... 0 0 0]
CC#CC1(O)C2CCC12,[0 0 0 ... 0 0 0]
N=C(OC=O)C#N,[0 0 0 ... 0 0 0]
CCCC#CC=O,[0 0 0 ... 0 0 0]
O=C1CC2CC1C2,[0 0 0 ... 0 0 0]
OC12CCN=C3NC1C23,[0 0 0 ... 0 0 0]
CC1C2OC(=O)C(N)C12,[0 1 0 ... 0 0 0]
CC#CC12CC1CC2C,[0 0 0 ... 0 0 0]
CCC(=O)C#CC#N,[0 0 0 ... 0 0 0]
CCC(=O)OC1CC1,[0 0 0 ... 0 0 0]
N=C1OC2C3CC2(C3)O1,[0 0 0 ... 0 0 0]
CC1CC2=CC=C(O)N12,[0 0 0 ... 0 0 0]
C#CC1CC2OCC12,[0 0 0 ... 1 0 0]
C1C2CC3COC(O3)C12,[0 0 0 ... 0 0 0]
CN1C(=N)CC(O)C1=O,[0 0 0 ... 0 0 0]
CC1(O)CC2CCC12O,[0 0 0 ... 0 0 0]
NC(=O)C12OC1CC=C2,[0 0 0 ... 0 0 0]
CC1(O)CNC1CC#N,[0 0 0 ... 0 0 0]
C1C(CO1)C(=N)NC=O,[0 0 0 ... 0 0 0]
CCC(O)CC#N,[0 1 0 ... 0 0 0]
CN1CC23CC(CC12)O3,[0 0 0 ... 0 0 0]
CC(O)C(C)C(C)=O,[0 1 0 ... 0 0 0]
CC1CC1C(=O)C(N)=N,[0 0 0 ... 0 0 0]
ON=C1C2OC3C2OC13,[0 0 0 ... 0 0 0]
CC1CC2CC(O1)C2=O,[0 0 0 ... 0 0 0]
Cc1cc(n(c1)C)C,[0 0 0 ... 0 0 0]
C1CC11COCC2CN12,[0 0 0 ... 0 0 0]
CC(O)C1NC2COC12,[0 1 0 ... 0 0 0]
CC12COC1(C)CO2,[0 0 0 ... 0 0 0]
c1c[nH]nc1CC=O,[0 0 0 ... 0 0 0]
OC12COC1C2(O)C=O,[0 0 0 ... 0 0 0]
CCN(C)C(C)C#N,[0 1 0 ... 0 0 0]
CC#Cc1c(cc[nH]1)O,[0 0 0 ... 0 0 0]
NC1=NC2CC2(O)C1O,[0 0 0 ... 0 1 0]
C[NH2+]C(C)CC([O-])=O,[0 1 0 ... 0 0 0]
CNC(=O)C(C)C=O,[0 1 0 ... 0 0 0]
CCC#CC#CCC,[0 0 0 ... 0 0 0]
O=C1NC2C3OC2C3N1,[0 0 0 ... 0 0 0]
CC1(NCC1N)C#N,[0 0 0 ... 0 0 0]
OC12C3C4C3C1OC24,[0 0 0 ... 0 0 0]
CC1CC(CC#N)C1,[0 0 0 ... 0 0 0]
NC(=O)N1CCC2CC12,[0 0 0 ... 0 0 0]
C1CC12C=CC(=O)CN2,[0 0 0 ... 0 0 0]
CC1OCCCO1,[0 0 0 ... 0 0 0]
C1OCC2C=CC3C1N23,[0 0 0 ... 0 0 0]
CCC12CC3CC1C23,[0 0 0 ... 0 0 0]
CC1=CC2NC2C1C=O,[0 0 0 ... 0 0 0]
CC1=C(C(=O)OC1)C#N,[0 0 0 ... 0 0 0]
CC1N2CC1(C)C2C#N,[0 0 0 ... 0 0 0]
CC12OC3C1C1NC1C23,[0 0 0 ... 0 0 0]
CC(=O)N(C)C=N,[0 0 0 ... 0 0 0]
C1NC1C12CCCC1N2,[0 0 0 ... 0 0 0]
OC12COC3CCC1C23,[0 0 0 ... 0 0 0]
CC(O)CC1NC1C#C,[0 1 0 ... 0 0 0]
O=CC1NC1CC#N,[0 0 0 ... 0 0 0]
CC1C2COC1(C)C2C,[0 0 0 ... 0 0 0]
CC12OC1CC2O,[0 0 0 ... 0 0 0]
CN1CC2(CCC12)C#N,[0 0 0 ... 0 0 0]
CN(C=O)C(C=O)C#C,[0 1 0 ... 0 0 0]
CC1C2CC1(C)C2,[0 0 0 ... 0 0 0]
CC#CC(C)NC=O,[0 1 0 ... 0 0 0]
CC1(CC(C1)O)C,[0 0 0 ... 0 0 0]
CC1C2C3CCC1(C)C23,[0 0 0 ... 0 0 0]
OC12CC1C1NC21C=O,[0 0 0 ... 0 0 0]
CC1CC2CC3CCC123,[0 0 0 ... 0 0 0]
N=C1NC=NCC(=O)N1,[0 0 0 ... 0 0 0]
C1C2CC1COC2,[0 0 0 ... 0 0 0]
O=CC12C3C4C(C13)N24,[0 0 0 ... 0 0 0]
C1C2CC34CC(C3)C4C12,[0 0 0 ... 0 0 0]
O=CC1OC2C3CN3C12,[0 0 0 ... 0 0 0]
CC(C)C(=O)C(=O)C#C,[0 1 0 ... 0 0 0]
CCNc1cnno1,[0 1 0 ... 0 0 0]
CN(C)C(CC#C)C=O,[0 1 0 ... 0 0 0]
Cc1c(nno1)N,[0 0 0 ... 0 0 0]
CC1C2C(O)C1C2C=O,[0 0 0 ... 0 0 0]
CC12COC(C1)CC=C2,[0 0 0 ... 0 0 0]
CC12OC(OC1=O)C=C2,[0 0 0 ... 0 0 0]
ON=C1C=CC(=O)C1O,[0 0 0 ... 0 0 0]
CCCC#CCO,[0 0 0 ... 0 0 0]
CC1CC23CN4C2C1C34,[0 0 0 ... 0 0 0]
CC1(C)C2CC3C2CC13,[0 0 0 ... 0 0 0]
CN1C2C3OC4C3C1C24,[0 1 0 ... 0 0 0]
CC#CC1CCC2NC12,[0 0 0 ... 0 0 0]
C1CC1CN2CCC2=O,[0 0 0 ... 0 0 0]
CC1=CCC(N)(C1)C#N,[0 0 0 ... 0 0 0]
CC1C=CC2OC12C#N,[0 0 0 ... 0 0 0]
CC1C2C3OC2C13C=O,[0 0 0 ... 0 0 0]
OC1=CC(=N)N=NN1,[0 0 0 ... 0 0 0]
CC1C2(C)CC(O)C12O,[0 0 0 ... 0 0 0]
COC(C)CCCO,[0 1 0 ... 0 0 0]
CC1CN(C=O)C=C1C,[0 0 0 ... 0 0 0]
C1CC2CC=CC22OC12,[0 0 0 ... 0 0 0]
C#CC12CN1CC21CN1,[0 0 0 ... 0 0 0]
CC(C#C)C1CCCC1,[0 1 0 ... 0 0 0]
CC12CN1C1CC(=O)C21,[0 0 0 ... 0 0 0]
N=COC1C2NC(=O)C12,[0 0 0 ... 0 0 0]
c1cc(oc1)C(=O)C=O,[0 0 0 ... 0 0 0]
CC1C(OC=N)C1C#C,[0 0 0 ... 0 0 0]
OC(C=O)C12CN1CC2,[0 1 0 ... 0 0 0]
N=C1CNC2CC2O1,[0 0 0 ... 1 0 0]
OC1(C=O)C2CC=CC12,[0 0 0 ... 0 0 0]
OC1C2COC1C21CN1,[0 0 0 ... 0 0 0]
CN1C2CN(C)C(=O)C12,[0 1 0 ... 0 0 0]
C1CC23OC2COC3O1,[0 0 0 ... 0 0 0]
OC12CC1OC2CC=O,[0 0 0 ... 0 0 0]
N=COC1CC11CCO1,[0 0 0 ... 0 0 0]
OC12CCC34CN(C13)C24,[0 0 0 ... 0 0 0]
CNc1cn2c(n1)CC2,[0 0 0 ... 0 0 0]
CCc1ccnc(n1)O,[0 0 0 ... 0 0 0]
CC1=CCNC(=N)C1=O,[0 0 0 ... 0 0 0]
CC1(O)CC(O)C1(C)O,[0 0 0 ... 0 0 0]
CC1C(C)C(=O)C=C1N,[0 0 0 ... 0 0 0]
CC1(C)NC1C(N)=O,[0 0 0 ... 0 0 0]
c1nc(c(c(=O)o1)O)N,[0 0 0 ... 0 0 0]
CC12CC(CC=C1)C2=O,[0 0 0 ... 0 0 0]
OC1=NC(=N)C(O)=CN1,[0 0 0 ... 0 0 0]
N#CC12CC3NC1C23,[0 0 0 ... 0 0 0]
CC#CC1OC1(C)C,[0 0 0 ... 0 0 0]
CCC1NCC1=O,[0 0 0 ... 0 0 0]
CN1CC1C1=CN=CO1,[0 0 0 ... 0 0 0]
Cc1cc(oc1)C(=O)C,[0 0 0 ... 0 0 0]
CC1CCC1CC#C,[0 0 0 ... 0 0 0]
O=CNC(C#N)C1CN1,[0 1 0 ... 0 0 0]
CC1C2C1C1(C)C(C)N21,[0 0 0 ... 0 0 0]
OC1CC2CC2NC1=O,[0 0 0 ... 0 0 0]
C(C#CC#N)C#CC#N,[0 0 0 ... 0 0 0]
O=C1C2C=CC1C21CO1,[0 0 0 ... 0 0 0]
CC1(C#N)C2OCOC12,[0 0 0 ... 0 0 0]
CC12CC1(C)C1C(O)C21,[0 0 0 ... 0 0 0]
NC1C2OC1(C#N)C2O,[0 0 0 ... 0 0 0]
C1CC1N=C(C(=O)N)N,[0 0 0 ... 0 0 0]
Cc1cc(co1)CC#N,[0 0 0 ... 0 0 0]
NC(=[NH2+])NC(=N)C([O-])=O,[0 0 0 ... 0 0 0]
N#CC12C3OC1COC23,[0 0 0 ... 0 0 0]
C1CC1(C(=O)C#N)O,[0 0 0 ... 0 0 0]
CC12CC1C1CC1(C)C2,[0 0 0 ... 0 0 0]
O=CC12C3C1C1OC3C21,[0 0 0 ... 0 0 0]
CC1CC2(CCN12)C=O,[0 0 0 ... 0 0 0]
OC1CC2(CN2)C1C=O,[0 0 0 ... 0 0 0]
CC1COCC2C(O)C12,[0 0 0 ... 0 0 0]
N#CC12CC(C1)C21CO1,[0 0 0 ... 0 0 0]
Cc1c(nc(n1C)C)O,[0 0 0 ... 0 0 0]
CC1(CN1CC#N)C#N,[0 0 0 ... 0 0 0]
C#CCc1cc(co1)N,[0 0 0 ... 0 0 0]
Cc1coc(=O)c(n1)N,[0 0 0 ... 0 0 0]
c1c(cnc(n1)N)C#N,[0 0 0 ... 0 0 0]
CC(C)OC1CC1(C)C,[0 1 0 ... 0 0 0]
NC(=O)CC(O)CC=O,[0 1 0 ... 0 0 0]
CC1C2NC2C1OC=O,[0 0 0 ... 0 0 0]
CC#CC(=O)CN1CC1,[0 0 0 ... 0 0 0]
C1C2CCC11CCOC21,[0 0 0 ... 0 0 0]
N#CC12CC1CCCO2,[0 0 0 ... 0 0 0]
C1CC11CN2CC(C2)O1,[0 0 0 ... 0 0 0]
CC1C(O)CC(O)C1O,[0 0 0 ... 0 0 0]
O=C1CCC2C3CC1N23,[0 0 0 ... 0 0 0]
O=C1CC2(CC#N)CN12,[0 0 0 ... 0 0 0]
CC#CC1CCCOC1,[0 0 0 ... 0 0 0]
CC12NC3(C#N)C1CC23,[0 0 0 ... 0 0 0]
O=C1C2C3CN1C23C#C,[0 0 0 ... 0 0 0]
CC1C2CC1C(O)CC2,[0 0 0 ... 0 0 0]
OC1(C=O)C2OC(=O)C12,[0 0 0 ... 0 0 0]
O=C1CN2CCC12,[0 0 0 ... 0 0 0]
O=C1C2C3OC1C23C#N,[0 0 0 ... 0 0 0]
C#CC1CCO1,[0 0 0 ... 0 0 0]
OC1CC2OC(=O)CC12,[0 0 0 ... 0 0 0]
CCn1cncc1C=O,[0 0 0 ... 0 0 0]
C1=CC2C3C4C1C2N34,[0 0 0 ... 0 0 0]
N=C1CC2(O1)C1CC2C1,[0 0 0 ... 0 0 0]
N=C1OC2CC3CN3C12,[0 0 0 ... 0 0 0]
C1CC(=O)C=C1C=O,[0 0 0 ... 0 0 0]
C1C2OCC11OC=NC21,[0 0 0 ... 1 0 0]
CC(C)N1C=COC1=N,[0 1 0 ... 0 0 0]
c1ccnc(c1)OC=O,[0 0 0 ... 0 0 0]
CC1CCC1C(C)=NO,[0 0 0 ... 0 0 0]
Cc1nc[nH]c(=O)n1,[0 0 0 ... 0 0 0]
CC(C)C(=O)N(C)C=N,[0 1 0 ... 0 0 0]
CC1C(=O)CC(C)=C1C,[0 0 0 ... 0 0 0]
CC1(C#N)C2OC2C1=O,[0 0 0 ... 0 0 0]
CC(O)C1(CC1)C#N,[0 1 0 ... 0 0 0]
NC(=O)COCC1CN1,[0 0 0 ... 0 0 0]
CC12NC(C#N)C1C2O,[0 0 0 ... 0 0 0]
CC1CC2C(C=O)N2C1,[0 0 0 ... 0 0 0]
CC1CC2C1=CCC2=O,[0 0 0 ... 0 0 0]
C1NC11CC2CCC2=C1,[0 0 0 ... 0 0 0]
C#CC1(CC1)O,[0 0 0 ... 0 0 0]
NC1=CC=COC1=N,[0 0 0 ... 0 0 0]
CC(C)CC(C)C(C)O,[0 1 0 ... 0 0 0]
C1NC23COCC2OC13,[0 0 0 ... 0 0 0]
CC12C3CC1C(C#N)C23,[0 0 0 ... 0 0 0]
C(=O)c1c(n[nH]n1)O,[0 0 0 ... 0 0 0]
CC#CC1CCC(=O)N1,[0 0 0 ... 0 0 0]
C1CCOCC2(C1)CC2,[0 0 0 ... 0 0 0]
OC1C(O)C1C(=O)C#C,[0 0 0 ... 0 0 0]
CC1OC2C1C2N1CC1,[0 0 0 ... 0 0 0]
CC(CC1CN1C)C=O,[0 1 0 ... 0 0 0]
O=CNCC(=O)C1CO1,[0 0 0 ... 0 0 0]
c1cc([nH]c1CO)C#N,[0 0 0 ... 0 0 0]
CC(O)CN1CC1C=O,[0 1 0 ... 0 0 0]
N=C1OCC(O1)C1CC1,[0 0 0 ... 0 0 0]
C(#N)C(C#N)(C(=N)N)N,[0 0 0 ... 0 0 0]
CC1C2(C)OCC12C#N,[0 0 0 ... 0 0 0]
CC12CC=C3C1C2C3O,[0 0 0 ... 0 0 0]
NC1C(=N)N2CC12C#N,[0 0 0 ... 0 0 0]
CC1=NOC(=N)C=N1,[0 0 0 ... 0 0 1]
COC1C2NC1C=C2,[0 0 0 ... 0 0 0]
c1c(nc(c(=O)o1)N)O,[0 0 0 ... 0 0 0]
CC(C#C)(C#N)C1CC1,[0 0 0 ... 0 0 0]
CCOc1ccon1,[0 0 0 ... 0 0 0]
CC1(COCC1=O)C#C,[0 0 0 ... 0 0 0]
C1OC23CCN4C2C1C34,[0 0 0 ... 0 0 0]
CC1(CC2NC12)C(N)=O,[0 0 0 ... 0 0 0]
O=C1C2C3OC1(C#N)C23,[0 0 0 ... 0 0 0]
C1CCOCCOCC1,[0 0 0 ... 0 0 0]
C#Cc1cc(oc1)N,[0 0 0 ... 0 0 0]
CC12CC1(C#C)C1OC21,[0 0 0 ... 0 0 0]
CC(C([NH3+])C#C)C([O-])=O,[0 1 0 ... 0 0 0]
C#CCC1OC1CC#N,[0 0 0 ... 0 0 0]
C1CC23C=CC(C=C2)N13,[0 0 0 ... 0 0 0]
CC1C2C(O)C(C)N12,[0 0 0 ... 0 0 0]
CC12NC3CC1OC23C,[0 0 0 ... 0 0 0]
O=CC12CC3C(OC1)C23,[0 0 0 ... 0 0 0]
C(c1[nH]c(c(n1)N)O)O,[0 0 0 ... 0 0 0]
C1CCN=C(NC1)C=O,[0 0 0 ... 0 0 0]
CC1(CN1)C#CC1CO1,[0 0 0 ... 0 0 0]
CC1=CC=CCCCC1,[0 0 0 ... 0 0 0]
O=CC1OCC=C1C#C,[0 0 0 ... 0 0 0]
OC1CCOC(=N)C1,[0 0 0 ... 0 0 0]
CC(O)(CCC#N)C=O,[0 0 0 ... 0 0 0]
O=CC1COCOC1=O,[0 0 0 ... 0 0 0]
c1c2cocc2ncn1,[0 0 0 ... 0 0 0]
O=C1C=CC2(CC12)C#C,[0 0 0 ... 0 0 0]
CC(=O)C1CC2(CO2)C1,[0 0 0 ... 0 0 0]
CNC1=COC(=N)N=C1,[0 0 0 ... 0 0 0]
CC1(O)C2C3CC1(C)N23,[0 0 0 ... 0 0 0]
CN1CC2OCC1C2O,[0 0 0 ... 0 0 0]
OCC(O)(C=O)C#C,[0 0 0 ... 0 0 0]
C#Cc1cn[nH]c1O,[0 0 0 ... 0 0 0]
O=CC1NC1C(=O)C=O,[0 0 0 ... 0 0 0]
Cc1c(nc(o1)C=O)N,[0 0 0 ... 0 0 0]
CC12OC3CN4C(C14)C23,[0 0 0 ... 0 0 0]
CC1N=COC11COC1,[0 0 0 ... 1 0 0]
CC1C2CCOC12C#N,[0 0 1 ... 0 0 0]
N#CC1C2N1CC21CN1,[0 0 0 ... 0 0 0]
O=C1C2C3CN2CC1O3,[0 0 0 ... 0 0 0]
C1OC2C1CC1CC2O1,[0 0 0 ... 0 0 0]
CC1CC(C)(C)OC1=N,[0 0 0 ... 0 0 0]
CC1OC1C(C)(O)C#N,[0 0 0 ... 0 0 0]
C1CC23COC12CCO3,[0 0 0 ... 0 0 0]
CC1(C)C(O)C2CC12O,[0 0 0 ... 0 0 0]
CC1CC1CC#C,[0 0 0 ... 0 0 0]
C1OC2CC=CCC1O2,[0 0 0 ... 0 0 0]
OC1C2C3CCC2(O)C13,[0 0 0 ... 0 0 0]
NC1COCOC1=O,[0 0 0 ... 0 0 0]
N#CC1C2CC3CC3C12,[0 0 0 ... 0 0 0]
CC1=CCCC1CC=O,[0 0 0 ... 0 0 0]
CN1CC2NC2(C)C1=O,[0 0 0 ... 0 0 0]
C1C2CC11N3CC1(C3)O2,[0 0 0 ... 0 0 0]
O=C1C2C3OC1COC23,[0 0 0 ... 0 0 0]
Cn1ccc2c1ocn2,[0 0 0 ... 0 0 0]
CNc1c(cc[nH]1)CO,[0 0 0 ... 0 0 0]
OC(C=O)C1=CC=CO1,[0 1 0 ... 0 0 0]
CC12CC3C(C1)C3C2=O,[0 0 0 ... 0 0 0]
[O-]C(=O)COC1C[NH2+]C1,[0 0 0 ... 0 0 0]
O=CC1CN2C(C#C)C12,[0 0 0 ... 0 0 0]
CCCc1coc(=O)[nH]1,[0 0 0 ... 0 0 0]
CC1CC(=N)OCC=C1,[0 0 0 ... 0 0 0]
CC1C2CC(C)(C2)C1=O,[0 0 0 ... 0 0 0]
CN1C2C3NC3C1C2=O,[0 1 0 ... 0 0 0]
O=C1CC=CC(C1)C#C,[0 0 0 ... 0 0 0]
CC1OC1C1COC1=N,[0 0 0 ... 0 0 0]
OC12CN(CC1)C2C=O,[0 0 0 ... 0 0 0]
C#CC1CCC2(CC2)C1,[0 0 0 ... 0 0 0]
CC1CC1(C#C)N1CC1,[0 0 0 ... 0 0 0]
CC1(C#C)C2CCN12,[0 0 0 ... 0 0 0]
CCC(C=O)C1CC1,[0 1 0 ... 0 0 0]
C1NC1C1(CO1)C1CN1,[0 0 0 ... 0 0 0]
CC1C2C(CC1O)N2C,[0 1 0 ... 0 0 0]
O=C1CC2(CCC12)C#C,[0 0 0 ... 0 0 0]
CCN=COCC#N,[0 0 0 ... 0 0 0]
N=CN1CC1(C=O)C#C,[0 0 0 ... 0 0 0]
Cn1cncc1C=O,[0 0 0 ... 0 0 0]
OC1C=CC(O)C1C=O,[0 0 0 ... 0 0 0]
O=CN1CC(C#C)C1=O,[0 0 0 ... 0 0 0]
